fen,game_id
r4rk1/2pnq1pp/1p1p4/p4p2/1PPPp2P/P1Q1P1P1/5PN1/R2R2K1 b - - 0 18,e12
r4rk1/2pn3p/1p1p4/p4pq1/1PPPpN2/P1Q1P1P1/5P2/R2R2K1 b - - 1 20,e12
r4Nk1/2pn4/1p1p4/p4p1p/1PPPp1q1/P1Q1P1P1/5P2/R2R2K1 b - - 0 22,e12
r5k1/2p4n/1p1p4/p4p1p/1PPPp1q1/P3P1P1/5P2/R2R1QK1 b - - 3 24,e12
r7/2p2k2/1p1p4/p4pnp/1PPPp1q1/P3P1P1/5PQ1/R2R1K2 b - - 7 26,e12
6r1/2p2k2/3p4/p4pnp/2PPp1q1/P3P1P1/5PQ1/RR3K2 b - - 1 28,e12
6r1/2R2k2/3p4/p4p2/2PPp1qp/P3PnP1/5PQ1/R4K2 b - - 0 30,e12
6r1/2R5/3p1k2/p2P1p2/2P1p1qp/P3PnP1/5PQ1/1R3K2 b - - 2 32,e12
6r1/2R5/3p1k2/p2P1p2/2P1p1q1/P3P1Pp/3n1P2/1R2K2Q b - - 1 34,e12
rnbq1rk1/pp2p1bp/2pp1np1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQR1K1 b - - 1 8,e13
rnbq1rk1/pp2p1bp/2pp2p1/5pN1/2PP4/2P3P1/P3PPBP/R1BQR1K1 b - - 0 10,e13
rnbq1rk1/pp4bp/3pN1p1/2pPpp2/2P5/2P3P1/P3PPBP/R1BQR1K1 b - - 1 12,e13
r2q1rk1/pp4bp/2npP1p1/2p1pp2/2P5/2P3P1/P3PPBP/1RBQR1K1 b - - 2 14,e13
1r3rk1/pp2q1bp/2npP1p1/2pBpp2/2P4P/2P3P1/P3PP2/1RBQR1K1 b - - 0 16,e13
1r3r2/pp2q1bk/2npP1pp/2pBpp2/Q1P4P/2P3P1/P2BPP2/1R2R1K1 b - - 3 18,e13
1r3r2/QR2q1bk/3pn1pp/2pBpp2/2P4P/2P3P1/P2BPP2/4R1K1 b - - 0 20,e13
5r2/1B4bk/3pn1pp/2p1pp2/2P4P/2P3P1/P2BPP2/4R1K1 b - - 0 22,e13
1r1n4/6bk/3p2pp/2p1pp2/2P1B2P/2P3P1/P2BPP2/1R4K1 b - - 4 24,e13
3n4/6bk/3p2pp/2p2p2/2P1p1PP/2P5/P2BPP2/1B4K1 b - - 0 26,e13
8/6bk/3p2Pp/n1p2p2/2P1p1P1/2P5/P2BPP2/1B4K1 b - - 0 28,e13
8/6b1/3p3p/n1p2k2/2P1p3/2P2P2/P2BP3/1B4K1 b - - 0 30,e13
8/6b1/3pk2p/2p5/2n1B3/2P2P2/P3P3/4B1K1 b - - 2 32,e13
8/6b1/4k2p/2pp4/4P3/n1PB1P2/P7/4B1K1 b - - 0 34,e13
rnbqkb1r/pp2p2p/1n2ppp1/2p5/7P/1P1B4/PBPP1PP1/RN1QK1NR b KQkq - 0 8,e14
rnbq3r/pp2pkbp/1n2pppP/2p5/8/1P1B4/PBPP1PP1/RN1QK1NR b KQ - 0 10,e14
r1bq1b1r/pp2pk1p/1nn1pppP/2p5/4N3/1P1B4/PBPP1PP1/R2QK1NR b KQ - 4 12,e14
r1bq1b1r/pp2pk1p/1nn2ppP/4p3/P1P1N3/3B4/1BPP1PP1/R2QK1NR b KQ - 0 14,e14
r1bq1b1r/pp2pk1p/1n3ppP/4p3/P1P1N3/3P1Q2/1B1P1PP1/R3K1NR b KQ - 0 16,e14
r2q1b1r/pp2pk1p/1n3ppP/4p3/P1P1Q1P1/3P4/1B1P1P2/R3K1NR b KQ - 0 18,e14
r1n2b1r/pp1qpk1p/5ppP/P3p3/2P1Q1P1/3P1N2/1B1P1P2/R3K2R b KQ - 2 20,e14
r4b1r/pp2pk1p/3n1ppP/P3B3/2P3q1/3PQN2/3P1P2/R3K2R b KQ - 0 22,e14
r4b1r/pp2pk1p/4qppP/P3Bn2/2P2Q2/3P1N2/3P1P2/R4K1R b - - 4 24,e14
r1q2b1r/pp2pk1p/5ppP/P3Bn2/2PP1Q2/3P1N2/5P2/R4K1R b - - 0 26,e14
r1q1kb1r/pp2p2p/P5pP/4Nn2/2PP1Q2/3P4/5P2/R4K1R b - - 0 28,e14
r1q1k2r/p3p2p/p5pb/3QNn2/2PP4/3P4/5P2/R4K1R b - - 1 30,e14
r1q1k2r/p5bp/p1N1p1p1/5n2/2PPQ3/3P4/5P2/R4K1R b - - 3 32,e14
r1q4r/p2k2bp/p2np1p1/4N3/2PPQ3/3P4/5P2/1R3K1R b - - 7 34,e14
rn1qk2r/p2Nbppp/bpp1p3/3p4/2PP4/1PB3P1/P3PPBP/RN1QK2R b KQkq - 0 10,e15
r2q1rk1/p2nbppp/bpp1p3/3p4/2PP4/1PB3P1/P2NPPBP/R2Q1RK1 b - - 3 12,e15
r2q1rk1/p3b1pp/bpp1pn2/3p1p2/2PP4/1PB2NP1/P1Q1PPBP/R4RK1 b - - 3 14,e15
r2q1rk1/p5pp/bpp1pb2/3p1p2/2PPn3/1P3NP1/PBQ1PPBP/R2R2K1 b - - 7 16,e15
2r2rk1/p3q1pp/bpp1pb2/3p1p2/2PPn3/1P2PNP1/PBQ2PBP/2RR2K1 b - - 0 18,e15
2r2rk1/p3q2p/bpp1p3/3pPpp1/2P1n3/1P2P1P1/PBQ2PBP/2RR2K1 b - - 0 20,e15
2r2rk1/p3q3/bpp1p3/3PPp1p/4n1p1/1P2P1P1/PB3PBP/1QRR2K1 b - - 0 22,e15
2r2rk1/p7/bpp1q3/3p1p1p/4n1p1/1P2P1P1/P4PBP/BQRR2K1 b - - 1 24,e15
2r5/p4r1k/bpp1q3/3p1p1p/4n1p1/1P2P1P1/PQR2PBP/B2R2K1 b - - 5 26,e15
2r5/p4r1k/1p2q3/2Pp1p1p/2b1n1p1/4P1P1/PQR2PBP/B2R2K1 b - - 0 28,e15
