fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r4rk1/3bqpp1/2nppn1p/1pp5/4P3/1BPP1NN1/1P1Q1PPP/R3R1K1 b - - 3 18,36,?,c6e5,2,9,f8c8,0.0394,0.0612,0.0664,0.0442,a8a1,c6a5,c6a5,c6a5,23.0,0.0664,0.0048,False
r1r3k1/3bqpp1/2np1n1p/1ppPp3/4P3/1BP2NN1/1P1Q1PPP/R3R1K1 b - - 0 20,40,?,c6a5,37,52,c6a5,0.5303,0.6804,0.8134,0.8665,c6a5,c6a5,c6a5,c6a5,0.0,0.8665,0.3362,False
r1r3k1/3bqpp1/3p1n1p/np1Pp3/2p1P3/2P2NNP/BP1Q1PP1/R3R1K1 b - - 0 22,44,?,f6h7,100,10,a5b7,0.0146,0.0289,0.0346,0.0252,a5b7,a5b7,a5b7,a5b7,21.0,0.0346,0.0106,False
r1r3k1/1n1bqpp1/3p1n1p/1p1Pp3/4P3/1BP2NNP/3Q1PP1/R3R1K1 b - - 0 24,48,?,e7d8,75,12,b7c5,0.0278,0.0338,0.0289,0.0199,b7c5,b7c5,b7c5,b7c5,11.0,0.0338,-0.0079,False
r1rq2k1/3b1pp1/3p1n1p/1pnPp3/4P3/2P2NNP/2BQ1PP1/RR4K1 b - - 4 26,52,?,a8a1,72,10,a8a1,0.4351,0.3792,0.3049,0.2291,a8a1,a8a1,a8a1,a8a1,0.0,0.4351,-0.206,False
2rq2k1/3b1pp1/3p1n1p/1p1Pp3/n3P3/2P2N1P/2BQNPP1/R5K1 b - - 2 28,56,?,d8b6,83,12,d8c7,0.0254,0.0259,0.0294,0.0335,a4c5,a4c5,a4c5,a4c5,45.0,0.0335,0.0081,False
2r3k1/2qb1pp1/3p1n1p/3Pp3/p3P3/2P1QN1P/4NPP1/R5K1 b - - 1 30,60,?,c7c5,126,17,c7c5,0.0787,0.1072,0.1201,0.1097,c7c4,c7c4,c7c4,c7c4,113.0,0.1201,0.031,False
6k1/3b1pp1/3p1n1p/2rPp3/p3P3/2P4P/3NNPP1/R5K1 b - - 1 32,64,?,d7b5,164,157,d7b5,0.3425,0.371,0.3833,0.3217,d7b5,d7b5,d7b5,d7b5,0.0,0.3833,-0.0208,False
6k1/5pp1/3p1n1p/1b1PpN2/p3P3/2r4P/3N1PP1/R5K1 b - - 1 34,68,?,f6e8,241,92,c3c2,0.2948,0.3744,0.4819,0.5967,f6e8,f6e8,f6e8,f6e8,0.0,0.5967,0.3019,False
rnbqk2r/ppp1bppp/5n2/3p4/3P4/3B1N1P/PPP2PP1/RNBQ1RK1 b kq - 1 8,16,?,b8d7,-47,3,e8g8,0.0077,0.0119,0.0132,0.012,e8g8,e8g8,e8g8,e8g8,5.0,0.0132,0.0043,False
