fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,batch,white_elo,black_elo,mover_elo,real_found,hard_core
r2q1rk1/pp2bpp1/2np1n1p/4p3/1PB1P1b1/P1N1QN2/5PPP/R1BR2K1 b - - 2 12,24,zaCd3KRk,a8c8,146,5,a8c8,0.0274,0.0207,0.0225,0.0332,c6d4,a7a6,a7a6,g4f3,154.0,0.0332,0.0058,True,club,03_disagreements_b2,1815,1808,1808,True,False
r1b1kn1r/ppq1bpp1/2p2n1p/4p3/4P3/1BN1BN1P/PPP1QPP1/R2R2K1 b kq - 6 12,24,73nBAVJH,f8e6,-45,33,f8g6,0.0069,0.0059,0.0074,0.0078,g7g5,g7g5,g7g5,g7g5,198.0,0.0078,0.0009,True,club,03_disagreements_b2,2135,2106,2106,False,True
r5k1/p4pp1/1p1Bqbnp/4p3/2r1P3/Q6P/1PPR1PP1/3RN1K1 b - - 4 28,56,73nBAVJH,f6g5,129,56,c4e4,0.0237,0.0198,0.0158,0.0133,c4e4,c4e4,c4e4,c4e4,306.0,0.0237,-0.0104,True,club,03_disagreements_b2,2135,2106,2106,False,True
5k1r/QBp5/5pp1/1b6/3PP3/P1K2N1n/1P3qP1/R3R3 b - - 5 32,64,L07w87Bo,c7c6,-518,43,f2g2,0.0035,0.0029,0.0026,0.0029,h3f4,h3f4,h3f4,h3f4,185.0,0.0035,-0.0006,True,club,03_disagreements_b2,1854,1930,1930,False,True
1k5r/p1r5/q1PN1p2/1p1pp1p1/bQ3P1p/2P1P2P/1K4PB/R7 b - - 1 34,68,DbYc1h1I,g5f4,350,90,a6c6,0.042,0.0283,0.0234,0.023,a6c6,a6c6,a6c6,a6c6,167.0,0.042,-0.019,True,club,03_disagreements_b2,1876,1963,1963,False,True
r1b2rk1/2q1bppp/p1nppn2/1p6/3PP3/P1NBBN1P/1P3PP1/2RQ1RK1 b - - 1 12,24,hly3EFB7,b5b4,-133,8,c8b7,0.0204,0.0099,0.005,0.0023,c8b7,c8b7,c8b7,c8b7,118.0,0.0204,-0.0181,True,club,03_disagreements_b2,1947,1891,1891,False,True
2rbr1k1/1b1q1ppp/p1np1n2/1p1NP3/1P2PPP1/P2QB2P/7N/1BR2RK1 b - - 0 20,40,hly3EFB7,c6e5,-306,43,d6e5,0.0173,0.016,0.0126,0.0097,d6e5,d6e5,d6e5,d6e5,358.0,0.0173,-0.0076,True,club,03_disagreements_b2,1947,1891,1891,False,True
1rb1nrk1/p4pp1/1p1q3p/2pPp2B/P1P1P3/2P3BP/1RQ2PP1/6RK b - - 2 24,48,Uo4SifHY,a7a5,-178,5,e8f6,0.0272,0.0193,0.0162,0.0125,e8f6,e8f6,e8f6,f7f5,133.0,0.0272,-0.0147,True,club,03_disagreements_b2,1840,1867,1867,False,True
5rk1/3b2p1/1R1n2qp/p1pPp3/2P1Pp2/2PQ1B1P/5PPB/7K b - - 0 34,68,Uo4SifHY,d6e4,267,254,f8a8,0.0025,0.0019,0.0013,0.0007,a5a4,a5a4,a5a4,a5a4,278.0,0.0025,-0.0018,True,club,03_disagreements_b2,1840,1867,1867,False,True
2r5/pp2k1N1/2n1b2p/3pPp2/3P1P2/P3KNP1/1P6/2R5 b - - 1 28,56,LXAvbt8Y,c6e5,-149,160,e6d7,0.0074,0.0044,0.0033,0.0028,c8g8,c8g8,c8g8,c8g8,161.0,0.0074,-0.0046,True,club,03_disagreements_b2,1953,1850,1850,False,True
r5k1/pp1r2p1/7p/3bPp2/3P4/BP1RN2P/P5P1/6K1 b - - 8 28,56,hOXRdMar,g8f7,173,65,d5e4,0.0035,0.0025,0.0018,0.002,d5e4,d5e4,d5e4,d5e4,104.0,0.0035,-0.0015,True,club,03_disagreements_b2,2081,1970,1970,False,True
2k1r2r/1Rp2pp1/p5b1/2bp4/7p/2NP1PqP/2PB2P1/1R3Q1K b - - 0 28,56,Wawnp3vR,g3f2,-123,41,c5b6,0.01,0.0119,0.0134,0.0145,c8d7,c8d7,c5b6,c5b6,194.0,0.0145,0.0045,True,club,03_disagreements_b2,2082,2028,2028,False,True
5r2/1pkr2q1/2nb1p2/1QpBp3/2P4p/P1BP4/5RPP/5RK1 b - - 1 30,60,KWbLArvl,c7d8,-299,74,c6d4,0.0248,0.0297,0.034,0.0381,h4h3,h4h3,h4h3,h4h3,244.0,0.0381,0.0133,True,club,03_disagreements_b2,2369,2352,2352,False,True
r4rk1/1Qp2ppp/p7/4P3/8/7P/qPP3P1/2KR1R2 b - - 0 20,40,Q0uDy45N,a8d8,552,129,a2a1,0.02,0.0124,0.0077,0.0076,a2a1,a2a1,a8b8,a8b8,103.0,0.02,-0.0124,True,club,03_disagreements_b2,1889,2222,2222,False,True
3r2k1/pp4pp/3p2r1/5b2/3p4/N2P3P/PP3PP1/3RRK2 b - - 9 22,44,EBKZKQ1B,g6g5,-118,26,f5d7,0.021,0.016,0.0094,0.0063,d6d5,a7a6,a7a6,a7a6,101.0,0.021,-0.0147,True,club,03_disagreements_b2,2301,1808,1808,False,True
5rk1/4bppp/q3p2B/p2pPP1P/b2N1QP1/Pp1P4/1Pr5/1K1R3R b - - 4 24,48,udaIpNyp,a6c8,-160,47,g7h6,0.0037,0.003,0.0024,0.0022,e7a3,e7a3,e7a3,e7a3,270.0,0.0037,-0.0015,True,club,03_disagreements_b2,2918,2727,2727,False,True
r2q2k1/pbpn2r1/1p1p4/7Q/2PP2B1/2P1P3/5PPP/1RB2RK1 b - - 0 20,40,9rkhf8Yq,d8e7,-288,86,d7f6,0.004,0.0039,0.0035,0.0035,d7f6,d7f6,d7f6,d7f6,160.0,0.004,-0.0005,True,club,03_disagreements_b2,1952,1988,1988,False,True
r4kBQ/pbp3r1/1p1p1q2/8/2PP4/2P1P1P1/5P1P/1RB2RK1 b - - 0 24,48,9rkhf8Yq,f8e7,-316,139,f8e7,0.0167,0.0158,0.0144,0.0133,g7g8,g7g8,g7g8,g7g8,810.0,0.0167,-0.0034,True,club,03_disagreements_b2,1952,1988,1988,True,False
r6r/pbp1k3/1p1pP3/8/2P5/2P1P1P1/5P1P/1RB2RK1 b - - 0 28,56,9rkhf8Yq,h8h2,-3,24,e7e6,0.0018,0.0028,0.0073,0.0213,e7e6,e7e6,e7e6,e7e6,186.0,0.0213,0.0195,True,club,03_disagreements_b2,1952,1988,1988,False,True
7r/2p5/1p1pk3/p7/2r1P2P/2P2bP1/1B3P1K/R3R3 b - - 0 34,68,9rkhf8Yq,h8f8,35,22,h8h5,0.0155,0.0172,0.0236,0.0382,c4e4,c4e4,c4e4,c4e4,136.0,0.0382,0.0227,True,club,03_disagreements_b2,1952,1988,1988,False,True
