set,elo,fen,engine_best,rank
machine_unique,1500,3r2k1/5p2/1R4np/2p3pq/4P3/4QPR1/1P3P1P/7K b - - 0 32,c5c4,5.0
machine_unique,1500,2r1kr2/pp4pp/2n1P1n1/2b5/Bqp5/2N5/PP2Q1PP/1RB2R1K b - - 8 22,c5d4,
machine_unique,1500,r2qkb1r/4pp1p/2n3p1/pp1p1b2/2pPN3/2P2N1P/PPB2PP1/R1B1QRK1 b kq - 0 12,f8g7,3.0
machine_unique,1500,8/p5p1/1p3k1p/8/P2RPP1P/6P1/4r3/6K1 b - - 0 34,h6h5,
machine_unique,1500,8/6pk/2p5/P2b4/1P4q1/2Q5/6PK/6R1 b - - 1 34,h7g8,
machine_unique,1500,r2q1r1k/pp1b3p/1n2pb2/4B3/2PP1N2/1P2Q2P/P1R5/4KNR1 b - - 2 24,d7e8,5.0
machine_unique,1500,1r6/1p1q1pk1/pR1p2pp/3Ppn2/2P1n3/5N2/PQ3PPP/1R4K1 b - - 3 26,d7e7,
machine_unique,1500,rn1q4/pp1b1kp1/2pP1p2/4Q1B1/7N/2P5/PPP3PP/R4RK1 b - - 0 24,d7e8,
machine_unique,1500,r3r1k1/1ppq4/pb1pN2p/3P2p1/3Pn3/1Q3N1P/P2B1PP1/R5K1 b - - 1 20,d7b5,
machine_unique,1500,rr4k1/2pq1ppp/2pbp3/5b2/pn2N3/2PP1Q1P/PP3PP1/R1BBR1K1 b - - 1 16,b4d3,2.0
machine_unique,1500,2r1k2r/pR1nNpp1/4p1p1/6P1/3P4/5Q1P/P1q2P2/2B1R1K1 b k - 0 20,c8c3,2.0
machine_unique,1500,rn3r2/pp2p1kp/2p3p1/3pPq2/3P3P/3Q1P2/PPP1K3/RN5R b - - 2 16,c6c5,
machine_unique,1500,r1b4r/pp3kp1/2p5/1n1pBP2/6P1/3P2K1/PPP5/RN6 b - - 4 26,c8f5,
machine_unique,1500,2kr4/ppb2R2/8/2p4p/1q4pP/2N1P3/PP1R1PP1/3Q2K1 b - - 0 34,c7h2,
machine_unique,1500,2rq1rk1/1b3p2/1p2p3/p1b1P1p1/P5p1/1P1PN1P1/1QN2P1P/3RR1K1 b - - 4 26,g8g7,5.0
machine_unique,1500,r1b1k2r/ppp2ppp/2n1p3/2Np4/8/3B4/PPPN2PP/R4K1R b kq - 1 14,e8e7,
machine_unique,1500,r1b2rk1/5ppp/2p5/p3P3/Pp3N1Q/1B2q2P/1PP3P1/5R1K b - - 2 24,a8a7,
machine_unique,1500,r4rk1/5ppp/b1p1P3/p7/Pp3N1Q/1B5P/1PPq2P1/4R2K b - - 0 26,a8a7,
machine_unique,1500,1r1r4/p5bk/8/2p3qp/2NpPpP1/1PPR4/P4Q1P/3R2K1 b - - 0 30,d4c3,4.0
machine_unique,1500,2r3k1/pp1qRppp/n7/Q2b2B1/3P4/6P1/PP3P1P/6K1 b - - 1 22,d7e7,3.0
machine_unique,1500,r1b1kbnr/ppQp2pp/3n4/4qP2/4p3/8/PPPPNPPP/RNB2RK1 b kq - 0 10,b7b6,
machine_unique,1500,r1b1k1n1/pppp1p2/8/3P4/5pp1/2P5/PP4P1/RNB1K3 b Qq - 0 16,g8e7,
machine_unique,1500,2kr4/ppp2p2/3p1n2/3P2K1/2P3b1/8/PP6/RNB5 b - - 4 22,f6d5,4.0
machine_unique,1500,8/1QR2pbk/6p1/1P1Np2p/P2nP2P/8/5PPK/4q3 b - - 6 34,d4e2,3.0
machine_unique,1500,r4rk1/1b1p1p2/3N2p1/4N1Qp/4P2P/P7/1P3qP1/1K5R b - - 0 22,f8b8,
machine_unique,1500,r4qk1/2p1b1p1/1pN2p1p/pP1r4/2QP4/P3P2P/5PP1/R4RK1 b - - 3 26,g8h7,
machine_unique,1500,r1r1b1k1/pp2qpp1/4p2p/2n1N3/2RN1P2/1P4Q1/P5PP/4R1K1 b - - 0 24,c5a6,
machine_unique,1500,4r1k1/3Q2pp/4ppb1/p7/3P4/1P2PP1K/r6P/6R1 b - - 5 34,g6f7,
