fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique,source,family,piece,capture,check,quiet,pawn_move,phase,real_found
1r3rk1/2pq1pp1/p3bB1p/2ppP2Q/3P1R2/1P6/P1P3PP/R6K b - - 1 18,36,hCxpxyCF,b8b6,-368,26,g7f6,0.0023,0.0023,0.0021,0.002,g7f6,c5d4,c5d4,g8h7,415.0,0.0023,-0.0003,True,club,6,rook,False,False,True,False,middlegame,False
3r2k1/1bp2P2/pn2p1p1/1p4N1/4P3/P7/1PP4P/5RK1 b - - 0 30,60,YqXj4KjD,g8h8,-693,134,g8h8,0.0226,0.0198,0.0152,0.0116,g8f8,g8f8,g8f8,g8f8,125.0,0.0226,-0.011,True,club,6,king,False,False,True,False,endgame,True
r1q1k2r/3bppbp/3p2p1/p1nN4/4P3/4BN1P/PP2QPP1/2R2RK1 b kq - 1 16,32,7vACvRFZ,d7c6,-170,5,a8b8,0.0121,0.0079,0.0049,0.0022,e8g8,c8a6,c8a6,c8a6,510.0,0.0121,-0.0099,True,club,1,bishop,False,False,True,False,middlegame,False
1k6/p1pB2pp/1b2r3/1P6/1P1nP1P1/8/8/2R1KN2 b - - 4 34,68,KLIwQznW,d4f3,473,88,d4f3,0.0167,0.0106,0.0073,0.0059,e6e4,e6e4,e6e4,e6e4,118.0,0.0167,-0.0108,True,club,5,knight,False,True,False,False,endgame,True
rn3rk1/pbp2ppp/1p1ppq2/2P5/3P4/4PN2/P1Q1BPPP/R2R2K1 b - - 0 14,28,zuGz5bZe,b8c6,97,9,b8c6,0.0415,0.0382,0.037,0.0309,d6c5,d6c5,b8d7,b8d7,541.0,0.0415,-0.0106,True,club,0,knight,False,False,True,False,middlegame,True
r5k1/1Q3pp1/7p/3p2q1/8/4P1P1/P4P2/3R2K1 b - - 4 28,56,zuGz5bZe,a8a5,-49,14,a8a2,0.0079,0.0066,0.006,0.0061,a8a2,a8a2,a8a2,a8a2,525.0,0.0079,-0.0018,True,club,4,rook,False,False,True,False,endgame,False
rn1q1rk1/ppp2pp1/4b2p/3pP2Q/8/1BP5/P4PPP/R1B1R1K1 b - - 0 14,28,O4HdPOhH,d8e8,-193,47,c7c5,0.002,0.0018,0.002,0.0023,b8c6,b8c6,b8d7,c7c5,173.0,0.0023,0.0003,True,club,1,queen,False,False,True,False,middlegame,False
r4rk1/pp2qpp1/7p/2p1P2Q/2b3P1/1BPp3P/P7/R1B1R1K1 b - - 1 22,44,O4HdPOhH,c4e6,-151,59,e7e6,0.0287,0.0267,0.0199,0.0122,c4b3,c4b3,b7b5,b7b5,131.0,0.0287,-0.0165,True,club,2,bishop,False,False,True,False,middlegame,False
3r1rk1/1p1b1ppp/p1n2q2/8/Q2p3N/6P1/PP1RPPBP/3R2K1 b - - 1 18,36,IDVAi1SI,h7h6,-19,1,f8e8,0.0235,0.0198,0.0179,0.0185,c6e5,c6e5,c6e5,c6e5,301.0,0.0235,-0.005,True,club,4,pawn,False,False,True,True,middlegame,False
1q4k1/1P3rp1/Q1p1p3/2Pp1p2/P2Pp3/2r5/7P/1R1K1R2 b - - 5 34,68,FZGqCeWT,f7f8,170,86,c3d3,0.0294,0.0221,0.0176,0.0156,c3d3,c3d3,c3d3,c3d3,170.0,0.0294,-0.0138,True,club,5,rook,False,False,True,False,endgame,False
