fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
4r1k1/5p2/pq1p2p1/1npP1P1p/2QbP3/6PP/RP4B1/5R1K b - - 0 30,60,T2025-09_7,d4e5,-92,43,g8g7,0.1059,0.1099,0.0942,0.0676,g6g5,g6g5,g6g5,g8g7,36.0,0.1099,-0.0383,False
4r3/5pk1/Rq1p2p1/2pP1P1p/2QbP3/1Pn3PP/6B1/5R1K b - - 0 32,64,T2025-09_7,b6b8,-163,66,b6b7,0.093,0.1029,0.114,0.1227,b6c7,b6c7,b6c7,b6c7,128.0,0.1227,0.0297,False
4r3/1q3pk1/3R2p1/2pP1P1p/2QbB3/1P4PP/8/5R1K b - - 0 34,68,T2025-09_7,e8e4,-406,24,e8e4,0.934,0.966,0.9837,0.9888,e8e4,e8e4,e8e4,e8e4,0.0,0.9888,0.0548,False
r1bq1rk1/pppp1ppp/2n2n2/8/2P5/P1BQ4/1P2PPPP/R3KBNR b KQ - 0 8,16,T2025-09_8,d7d6,9,5,f8e8,0.3417,0.3772,0.3648,0.298,d7d6,d7d6,d7d5,d7d5,24.0,0.3772,-0.0437,False
r1bqr1k1/ppp2ppp/2np1n2/8/2P5/P1BQPN2/1P3PPP/R3KB1R b KQ - 0 10,20,T2025-09_8,f6e4,21,2,c8g4,0.1587,0.2166,0.3141,0.4606,c8g4,c8g4,c8g4,f6e4,0.0,0.4606,0.3019,False
r2qr1k1/ppp2pp1/2np1n1p/6N1/2P3b1/P1BQP2P/1P3PP1/R3KB1R b KQ - 0 12,24,T2025-09_8,g4d7,47,1,g4h5,0.0605,0.0567,0.0644,0.1008,h6g5,g4h5,g4h5,g4h5,6.0,0.1008,0.0403,False
r2qr1k1/ppp2pp1/2np1nbp/8/2P5/P1B1PN1P/1P3PP1/R2QKB1R b KQ - 4 14,28,T2025-09_8,d8e7,28,1,f6e4,0.024,0.0291,0.0435,0.0796,f6e4,f6e4,f6e4,f6e4,-4.0,0.0796,0.0556,False
r2qr1k1/ppp2pp1/2np2bp/8/2P5/P1R1PN1P/1P3PP1/3QKB1R b K - 0 16,32,T2025-09_8,c6e5,15,15,a7a5,0.2378,0.3176,0.3838,0.339,c6e5,c6e5,c6e5,c6e5,0.0,0.3838,0.1012,False
r3r1k1/1pp2pp1/2np1qbp/p7/2P5/PP2PN1P/5PP1/2RQKB1R b K - 2 18,36,T2025-09_8,f6b2,179,32,f6b2,0.233,0.2443,0.262,0.3132,f6b2,f6b2,f6b2,f6b2,0.0,0.3132,0.0802,False
r3r1k1/1pp2pp1/2np2bp/p7/2P5/qP2PN1P/4BPP1/2RQ1RK1 b - - 1 20,40,T2025-09_8,b7b6,160,0,a5a4,0.0205,0.0156,0.0091,0.0063,a5a4,a5a4,c6b4,c6b4,65.0,0.0205,-0.0142,False
