fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
1b3rk1/1p2n3/p1q5/4pPpp/2Pp4/1B3P2/PP2Q1KP/3R1R2 b - - 0 30,60,reurrcYS,e7f5,33,123,e7f5,0.6779,0.6808,0.7016,0.7249,e7f5,e7f5,e7f5,e7f5,0.0,0.7249,0.047,False
1b3rk1/1p6/p1q5/4p1pp/2Pp4/1B2RP2/PP2Q1KP/5R2 b - - 0 32,64,reurrcYS,d4e3,-39,380,d4e3,0.8336,0.9022,0.9397,0.9483,d4e3,d4e3,d4e3,d4e3,0.0,0.9483,0.1147,False
1b4k1/1p6/p1q5/4p1pp/2P2r2/1B2QP2/PP4KP/3R4 b - - 2 34,68,reurrcYS,g8g7,-23,3,b8c7,0.2305,0.2999,0.3386,0.3772,g5g4,g8g7,g8g7,g8g7,0.0,0.3772,0.1467,False
rn1qkbnr/1p2p1p1/p2p3p/5b2/2BN1P2/8/PPP3PP/RNBQ1RK1 b kq - 0 8,16,lRjkJLbh,d8c8,-290,55,f5h7,0.0486,0.0652,0.0925,0.1502,f5e4,f5d7,f5d7,f5d7,1708.0,0.1502,0.1016,False
rn1qkb1r/1p2p1pb/p2pNn1p/5P2/2B5/8/PPP3PP/RNBQ1RK1 b kq - 2 10,20,lRjkJLbh,d8b6,-373,3,d8b6,0.5683,0.6547,0.7135,0.7385,d8b6,d8b6,d8b6,d8b6,0.0,0.7385,0.1702,False
r3kb1r/1p2p1pb/pqnpNn1p/5P2/2B5/2N5/PPP3PP/R1BQ1R1K b kq - 6 12,24,lRjkJLbh,h7g8,-419,27,h7g8,0.0904,0.0974,0.0862,0.0802,c6e5,c6e5,c6e5,c6e5,21.0,0.0974,-0.0102,False
r3kbbr/1p2p1p1/pqnpN2p/3B1P2/8/8/PPP3PP/R1BQ1R1K b kq - 0 14,28,lRjkJLbh,g7g5,-426,12,c6d8,0.0289,0.0233,0.024,0.0241,g8e6,g8e6,g8e6,g8e6,-20.0,0.0289,-0.0048,False
r2Nkb1r/1p2p1p1/pq1p3p/3Q1P2/8/8/PPP3PP/R1B2R1K b kq - 0 16,32,lRjkJLbh,a8d8,-295,36,a8d8,0.4792,0.608,0.6722,0.6459,a8d8,a8d8,a8d8,a8d8,0.0,0.6722,0.1667,False
4kb1r/1p1rp1p1/pq1pQ2p/5P2/8/4B3/PPP3PP/R4R1K b k - 3 18,36,lRjkJLbh,b6c6,-420,59,b6c6,0.1291,0.1919,0.2481,0.3083,b6b2,b6b2,b6b2,b6b2,182.0,0.3083,0.1792,False
3k1b1r/1p1rp1p1/p1qpQ2p/5P2/2P5/4B3/PP4PP/3R1R1K b - - 2 20,40,lRjkJLbh,h6h5,-492,11,d8c7,0.1153,0.1274,0.1327,0.1193,b7b5,d8c8,d8c8,d8c8,19.0,0.1327,0.004,False
