fen,ply,game_id,engine_best,best_cp,engine_margin,played_move,p_engine_move_1100,p_engine_move_1400,p_engine_move_1700,p_engine_move_2000,human_top_1100,human_top_1400,human_top_1700,human_top_2000,human_cost_cp,p_max,p_slope,machine_unique
r2q1rk1/pbp1bpp1/1p2pn1p/4P3/2BP3P/2P2N1R/P2BQPP1/R3K3 b Q - 0 14,28,?,f6h7,-148,37,f6h7,0.0389,0.0722,0.0958,0.0414,f6e4,f6e4,f6e4,f6e4,33.0,0.0958,0.0025,False
r2q1rk1/pbp2ppn/1p2p2p/4P3/2BP3N/2P3R1/P2BQPP1/R3K3 b Q - 0 16,32,?,d8h4,-147,331,d8h4,0.9577,0.9721,0.9746,0.9783,d8h4,d8h4,d8h4,d8h4,0.0,0.9783,0.0206,False
r4r1k/pbp2ppn/1p2p2p/4P3/3P3q/2PB2R1/P2BQPP1/2KR4 b - - 3 18,36,?,f7f5,-136,95,f7f5,0.0746,0.0909,0.1319,0.1835,h4e7,h4e7,h4e7,f7f5,0.0,0.1835,0.1089,False
r6k/pbp3pn/1p2pr1p/8/3P3q/2PB2R1/PK1BQPP1/3R4 b - - 1 20,40,?,a8d8,-149,14,a8f8,0.0087,0.0058,0.0045,0.0042,a8f8,a8f8,a8f8,a8f8,35.0,0.0087,-0.0045,False
5r1k/pb4pn/1p2pr1p/2P1Q3/7q/2PB2R1/PK1B1PP1/3R4 b - - 0 22,44,?,f8f7,-192,24,f6f7,0.0045,0.0032,0.0022,0.0022,b6c5,b6c5,b6c5,b6c5,41.0,0.0045,-0.0023,False
2b2r1k/p4rpn/1p4Qp/2P5/7q/2PB2R1/PK1B1PP1/3R4 b - - 2 24,48,?,h7f6,-254,349,h7f6,0.2908,0.4113,0.5115,0.5826,c8f5,h7f6,h7f6,h7f6,0.0,0.5826,0.2918,False
5r1k/p4rp1/1p3nQp/2P5/5Rbq/2PB4/PK1B1PP1/3R4 b - - 6 26,52,?,h4g5,-365,52,h4g5,0.0401,0.0449,0.0394,0.0305,b6c5,b6c5,b6c5,b6c5,82.0,0.0449,-0.0096,False
5r1k/p4rp1/1p3n1p/2P3Qb/5R2/2PB1P2/PK1B2P1/3R4 b - - 0 28,56,?,h6g5,-411,216,h6g5,0.9726,0.9917,0.9959,0.9973,h6g5,h6g5,h6g5,h6g5,0.0,0.9973,0.0247,False
5r1k/p1r3p1/1P3n2/6pb/R7/2PB1P2/PK1B2P1/3R4 b - - 0 30,60,?,f8b8,-427,5,f8b8,0.0063,0.0067,0.0067,0.0065,a7b6,a7b6,a7b6,a7b6,-16.0,0.0067,0.0002,False
7k/p1r3p1/1r3n2/6Bb/1R6/2PB1P2/PK4P1/3R4 b - - 0 32,64,?,h5f7,-435,7,c7d7,0.0217,0.0274,0.032,0.0316,f6d5,f6d5,f6d5,b6c6,88.0,0.032,0.0099,False
7k/p5p1/1r3n2/6Bb/1R6/2P2P2/PK4P1/3B4 b - - 0 34,68,?,f6d7,-458,23,b6b4,0.0184,0.0142,0.0095,0.0071,b6d6,b6d6,b6d6,b6d6,28.0,0.0184,-0.0113,False
rnbqnrk1/pp2bppp/3p4/2pPp3/2P1P3/2NB4/PP2NPPP/R1BQ1RK1 b - - 6 8,16,?,e7g5,-77,11,b8d7,0.1777,0.1513,0.072,0.0295,f7f5,f7f5,f7f5,f7f5,140.0,0.1777,-0.1482,False
r1bqnrk1/pp1n1ppp/3p4/2pPp1b1/2P1P3/P1NB3P/1P2NPP1/R1BQ1RK1 b - - 0 10,20,?,g7g6,-57,9,a7a6,0.0226,0.0234,0.0353,0.1449,g5c1,g5c1,g5c1,g5c1,14.0,0.1449,0.1223,False
r1bqnrk1/1p1n1ppp/p2p4/2pPp3/1PP1P3/P1NB3P/4NPP1/R1Q2RK1 b - - 0 12,24,?,b7b6,-74,1,d8h4,0.2296,0.3246,0.502,0.6206,b7b6,b7b6,b7b6,b7b6,0.0,0.6206,0.391,False
r1b2rk1/1p1n1ppp/p2p1n2/2pPp3/1PP1P2q/P1NB2PP/4NP1K/R1Q2R2 b - - 0 14,28,?,h4h5,-105,121,h4h5,0.6853,0.694,0.7091,0.7334,h4h5,h4h5,h4h5,h4h5,0.0,0.7334,0.0481,False
r1b2rk1/1p1n1ppp/p2p1n2/3Pp2q/1PP1P3/2NB2PP/5P1K/R1Q2RN1 b - - 0 16,32,?,b7b6,-156,1,g7g6,0.0715,0.0589,0.0465,0.0448,f6g4,f6g4,f6g4,f6g4,32.0,0.0715,-0.0267,False
r2qkb1r/pppn1p1p/4pnp1/3p4/5P2/1P4P1/PBPP1PBP/RN1Q1RK1 b kq - 1 8,16,?,c7c6,-44,2,f8g7,0.0308,0.0161,0.0123,0.0093,f8g7,f8g7,f8g7,f8g7,1.0,0.0308,-0.0215,False
r2qk2r/pp1n1pbp/2p1pnp1/3p4/2P2P2/1P4P1/PBQP1PBP/RN3RK1 b kq - 1 10,20,?,a7a5,-36,14,e8g8,0.0044,0.0042,0.0029,0.0055,e8g8,e8g8,e8g8,e8g8,7.0,0.0055,0.0011,False
